x,y,z,red,green,blue
134938.951,521765.145,-37.425,,,
134940.19,521763.706,-37.448,,,
134939.699,521763.613,-37.475,,,
134939.475,521763.978,-37.482,,,
134939.162,521764.464,-37.459,,,
134939.713,521764.127,-37.466,,,
134940.068,521763.845,-37.455,,,
134938.982,521765.246,-37.416,,,
134938.569,521764.266,-37.49,,,
134939.669,521763.589,-37.469,,,
134939.358,521764.077,-37.473,,,
134939.056,521764.579,-37.466,,,
134939.727,521764.31,-37.462,,,
134939.42,521764.804,-37.456,,,
134939.936,521764.255,-37.472,,,
134939.967,521763.728,-37.46,,,
134939.664,521764.211,-37.482,,,
134940.353,521764.057,-37.405,,,
134938.945,521765.227,-37.411,,,
134939.932,521763.71,-37.472,,,
134940.132,521763.66,-37.464,,,
134939.827,521764.156,-37.485,,,
134940.069,521763.832,-37.447,,,
134939.103,521765.121,-37.427,,,
134938.855,521764.704,-37.525,,,
134939.174,521764.645,-37.427,,,
134940.114,521763.696,-37.453,,,
134940.046,521763.816,-37.449,,,
134940.232,521763.777,-37.45,,,
134939.545,521764.878,-37.435,,,
134939.062,521765.097,-37.44,,,
134939.109,521764.559,-37.446,,,
134939.235,521764.635,-37.443,,,
134939.78,521764.29,-37.442,,,
134939.479,521764.792,-37.445,,,
134938.759,521764.847,-37.439,,,
134938.729,521765.167,-37.446,,,
134939.122,521765.086,-37.446,,,
134939.08,521764.536,-37.45,,,
134939.451,521764.77,-37.457,,,
134940.35,521764.142,-37.436,,,
134939.823,521764.105,-37.507,,,
134937.86,521768.007,-37.46,,,
134938.935,521766.816,-37.458,,,
134937.346,521767.045,-37.411,,,
134938.283,521766.093,-37.400999999999996,,,
134938.203,521766.213,-37.416,,,
134938.835,521765.757,-37.418,,,
134938.767,521766.401,-37.406,,,
134938.08,521767.503,-37.409,,,
134938.943,521766.678,-37.403,,,
134938.712,521767.047,-37.41,,,
134939.137,521766.634,-37.413,,,
134938.644,521767.168,-37.415,,,
134938.838,521767.123,-37.407,,,
134938.757,521767.241,-37.403999999999996,,,
134938.444,521767.742,-37.416,,,
134939.007,521767.406,-37.414,,,
134939.127,521767.474,-37.402,,,
134940.047,521767.368,-37.39,,,
134938.32,521767.055,-37.47,,,
134938.731,521765.783,-37.459,,,
134938.446,521766.787,-37.462,,,
134938.284,521767.037,-37.473,,,
134939.182,521767.246,-37.469,,,
134937.66,521767.924,-37.405,,,
134938.649,521767.084,-37.412,,,
134938.281,521766.016,-37.407,,,
