x,y,z
134938.3,521766.88,-37.438
134938.39,521766.97,-37.425
134939.08,521766.72,-37.428
134938.34,521767.62,-37.429
134938.16,521768.2,-37.429
134939.05,521767.25,-37.439
134938.4,521768.34,-37.44
134938.97,521768.0,-37.43
134938.48,521766.88,-37.446
134938.67,521766.28,-37.429
134937.34,521766.78,-37.429
134937.19,521767.03,-37.44
134937.67,521766.94,-37.444
134937.45,521767.22,-37.43
134938.0,521767.38,-37.44
134938.9,521766.72,-37.438
134938.38,521767.6,-37.439
134938.44,521767.8,-37.42
134938.48,521768.3,-37.448
134938.9,521767.94,-37.422
134939.75,521767.1,-37.444
134938.94,521768.12,-37.433
134939.2,521767.44,-37.428
134938.6,521767.06,-37.445
134937.92,521767.5,-37.446
134937.69,521767.06,-37.409
134937.61,521767.16,-37.415
134938.69,521766.8,-37.528
134938.84,521767.94,-37.406
134937.31,521767.1,-37.446
134938.44,521766.12,-37.446
134939.19,521766.56,-37.442
134939.11,521766.7,-37.429
134939.17,521767.4,-37.431
134938.67,521766.34,-37.397
134938.62,521766.34,-37.39
134938.11,521767.53,-37.414
134938.81,521767.16,-37.406
134938.52,521767.66,-37.418
134938.22,521766.94,-37.465
134937.84,521768.1,-37.465
134939.62,521767.16,-37.476
134938.61,521766.47,-37.393
134937.67,521767.9,-37.407
134940.05,521767.38,-37.39
134938.69,521767.1,-37.399
134938.12,521767.4,-37.42
134938.55,521766.47,-37.405
134938.19,521766.94,-37.469
134938.84,521766.7,-37.464
134938.17,521767.78,-37.485
134939.61,521767.1,-37.47
134938.1,521766.3,-37.479
134938.31,521766.78,-37.462
134939.77,521767.2,-37.463
134938.17,521766.88,-37.464
134938.9,521766.72,-37.421
134937.48,521766.5,-37.45
134937.66,521766.44,-37.435
134937.3,521767.06,-37.432
134937.94,521766.56,-37.453
134938.05,521766.62,-37.452
134938.42,521766.9,-37.42
134938.89,521766.7,-37.433
134939.16,521766.53,-37.446
134938.1,521768.25,-37.43
134939.03,521767.28,-37.43
134938.3,521768.2,-37.448
134938.22,521768.3,-37.427
134939.12,521767.34,-37.42
134938.38,521768.2,-37.444
134938.27,521768.53,-37.429
134938.14,521767.47,-37.416
134938.12,521766.22,-37.43
134938.08,521767.38,-37.427
134938.84,521767.0,-37.425
134938.11,521768.22,-37.422
134938.19,521768.3,-37.439
134938.81,521767.84,-37.423
134938.5,521767.8,-37.427
134938.1,521767.34,-37.437
134938.84,521766.97,-37.445
134938.97,521767.38,-37.427
134938.44,521768.25,-37.446
134938.0,521768.4,-37.525
134937.56,521766.5,-37.436
134938.27,521766.25,-37.418
134938.77,521765.72,-37.443
134938.94,521767.38,-37.438
134939.14,521767.3,-37.43
134939.11,521767.62,-37.447
134938.06,521766.53,-37.476
134938.23,521768.38,-37.413
134938.5,521768.5,-37.48
134939.78,521767.25,-37.469
134937.69,521767.88,-37.407
134937.95,521766.53,-37.464
134938.1,521766.62,-37.46
134939.06,521767.22,-37.459
134937.47,521767.06,-37.403
134938.75,521768.0,-37.388
134937.95,521768.28,-37.473
134937.19,521766.8,-37.427
134938.38,521766.03,-37.437
134938.03,521767.3,-37.451
134938.92,521766.5,-37.435
134938.8,521766.97,-37.437
134938.39,521767.56,-37.449
134938.34,521767.72,-37.424
134938.77,521767.28,-37.436
134937.97,521767.47,-37.426
134937.19,521767.0,-37.423
134938.19,521766.25,-37.424
134937.72,521767.0,-37.429
134938.44,521766.9,-37.426
134939.05,521766.78,-37.426
134938.89,521767.03,-37.437
134938.0,521768.2,-37.431
134938.25,521768.34,-37.424
134939.1,521766.78,-37.442
134938.3,521768.3,-37.422
134938.22,521768.47,-37.427
134938.02,521768.16,-37.423
134938.34,521768.2,-37.446
134938.33,521768.5,-37.426
134938.16,521767.38,-37.43
134938.4,521766.2,-37.425
134939.92,521766.47,-37.422
134940.25,521765.88,-37.461
134939.67,521766.2,-37.438
134940.66,521766.12,-37.438
134940.11,521766.44,-37.412
134940.72,521766.22,-37.428
134941.08,521765.9,-37.454
134939.78,521766.28,-37.453
134940.98,521766.38,-37.438
134940.28,521766.06,-37.438
134940.56,521766.4,-37.424
134939.3,521765.97,-37.403
134939.56,521766.3,-37.392
134939.75,521766.34,-37.422
134939.98,521766.44,-37.411
134940.05,521766.44,-37.418
134939.66,521764.8,-37.458
134939.95,521765.8,-37.456
134940.1,521766.66,-37.407
134939.05,521765.34,-37.434
134940.48,521766.88,-37.406
134939.61,521765.47,-37.427
134939.95,521765.0,-37.466
134940.19,521767.38,-37.391
134940.81,521766.56,-37.389
134940.5,521764.66,-37.483
134940.4,521766.72,-37.467
134939.98,521766.66,-37.397
134940.47,521766.34,-37.398
134939.53,521766.28,-37.395
134940.28,521765.44,-37.463
134940.64,521765.66,-37.452
134939.95,521764.9,-37.48
134940.4,521764.72,-37.492
134941.28,521766.0,-37.481
134940.53,521766.84,-37.413
134941.02,521766.62,-37.408
134940.22,521766.28,-37.518
134940.88,521765.8,-37.49
134941.1,521765.75,-37.473
134940.94,521766.62,-37.386
134939.42,521765.56,-37.441
134939.6,521765.5,-37.417
134940.55,521764.84,-37.467
134939.89,521765.62,-37.462
134940.84,521766.5,-37.364
134940.25,521765.4,-37.466
134939.44,521766.1,-37.441
134939.69,521766.22,-37.425
134940.03,521765.94,-37.451
134939.78,521766.56,-37.479
134940.16,521766.03,-37.438
134940.38,521766.72,-37.469
134940.92,521766.5,-37.368
134940.25,521765.3,-37.453
134940.45,521766.38,-37.406
134939.69,521766.1,-37.471
134941.03,521765.72,-37.461
134940.5,521766.72,-37.471
134939.83,521765.12,-37.456
134940.39,521765.3,-37.445
134940.62,521765.47,-37.447
134940.5,521764.7,-37.47
134940.34,521765.3,-37.458
134940.61,521765.62,-37.455
134941.33,521766.06,-37.474
134941.12,521766.47,-37.377
134940.27,521765.25,-37.467
134940.9,521765.84,-37.477
134941.03,521765.94,-37.464
134941.02,521766.44,-37.386
134941.17,521766.53,-37.388
134939.72,521766.1,-37.468
134939.56,521765.44,-37.422
134940.12,521766.5,-37.408
134940.05,521766.6,-37.396
134940.58,521766.38,-37.425
134940.1,521767.38,-37.378
134940.94,521766.47,-37.369
134939.92,521765.1,-37.443
134940.72,521766.28,-37.44
134941.02,521766.5,-37.372
134940.89,521766.44,-37.374
134939.4,521765.44,-37.414
134939.45,521765.5,-37.424
134939.38,521766.12,-37.424
134939.4,521766.06,-37.435
134939.75,521765.88,-37.437
134939.73,521766.2,-37.451
134940.02,521765.9,-37.455
134939.56,521766.44,-37.428
134939.92,521766.66,-37.427
134939.3,521765.4,-37.413
134940.66,521766.38,-37.447
134939.25,521766.06,-37.41
134939.89,521765.8,-37.44
134939.55,521766.4,-37.404
134940.08,521766.06,-37.439
134940.0,521766.47,-37.398
134939.25,521765.97,-37.405
134940.11,521766.6,-37.412
134940.36,521766.84,-37.461
134940.11,521765.97,-37.445
134940.36,521765.38,-37.443
134940.55,521765.53,-37.475
134939.36,521766.1,-37.419
134939.55,521766.34,-37.39
134939.52,521765.56,-37.427
134940.56,521764.7,-37.477
134939.28,521765.9,-37.435
134940.47,521764.8,-37.474
134940.19,521765.3,-37.476
134939.8,521765.9,-37.449
134939.67,521766.1,-37.462
134939.53,521766.4,-37.431
134940.02,521766.66,-37.394
134940.5,521766.16,-37.417
134940.64,521766.28,-37.428
134940.44,521766.88,-37.426
134940.19,521765.9,-37.453
134940.6,521766.16,-37.421
134940.7,521766.25,-37.426
134940.92,521766.38,-37.413
134940.8,521766.47,-37.396
134940.48,521764.88,-37.488
134940.94,521765.78,-37.47
134939.03,521765.38,-37.442
134939.3,521765.56,-37.449
134939.44,521765.62,-37.455
134939.45,521766.12,-37.437
134939.77,521765.8,-37.42
134939.81,521765.7,-37.437
134940.55,521766.22,-37.41
134940.03,521766.72,-37.408
134940.53,521766.8,-37.426
134939.17,521765.97,-37.447
134940.3,521766.75,-37.471
134940.64,521766.2,-37.424
134940.88,521766.6,-37.364
134941.11,521766.5,-37.377
134940.03,521766.5,-37.404
134940.0,521765.94,-37.454
134939.86,521765.88,-37.429
134941.1,521766.56,-37.38
134939.9,521766.6,-37.431
134939.11,521765.38,-37.409
134940.48,521766.78,-37.439
134939.44,521765.4,-37.415
134939.67,521766.4,-37.397
134940.5,521766.25,-37.403
134940.89,521766.66,-37.379
134940.55,521764.66,-37.49
134941.23,521765.25,-37.489
134939.89,521764.94,-37.465
134939.78,521765.06,-37.472
134940.45,521764.8,-37.476
134940.52,521765.53,-37.487
134939.7,521766.34,-37.408
134940.53,521766.3,-37.405
134941.14,521766.44,-37.406
134939.08,521765.3,-37.416
134939.53,521765.47,-37.414
134939.95,521766.7,-37.422
134939.36,521765.5,-37.405
134939.81,521765.0,-37.447
134940.19,521765.22,-37.472
134939.3,521765.5,-37.408
134940.92,521766.6,-37.372
134940.08,521767.38,-37.378
134939.62,521766.12,-37.464
134941.0,521766.6,-37.384
134940.14,521767.28,-37.408
134939.33,521765.5,-37.413
134939.83,521765.94,-37.472
134939.88,521765.16,-37.441
134939.92,521764.9,-37.484
134940.66,521766.16,-37.425
134940.78,521766.25,-37.44
134939.31,521766.06,-37.413
134939.61,521766.44,-37.407
134940.12,521765.3,-37.497
134940.17,521766.4,-37.465
134940.34,521766.7,-37.473
134940.23,521766.38,-37.519
134939.62,521766.2,-37.431
134940.19,521766.03,-37.435
134940.52,521766.28,-37.399
134939.27,521765.47,-37.402
134940.5,521766.84,-37.407
134939.58,521766.34,-37.388
134939.98,521766.6,-37.401
134940.4,521766.84,-37.43
134940.06,521767.28,-37.412
134940.72,521765.47,-37.442
134940.61,521765.56,-37.442
134939.52,521764.94,-37.46
134940.98,521765.88,-37.453
134940.69,521766.34,-37.447
134941.0,521766.38,-37.427
134941.47,521766.12,-37.435
134939.72,521766.25,-37.422
134940.34,521766.88,-37.469
134941.25,521766.12,-37.493
134941.14,521766.56,-37.378
134940.48,521766.4,-37.42
134939.25,521766.1,-37.424
134939.92,521765.16,-37.438
134940.31,521765.9,-37.455
134940.75,521765.5,-37.447
134940.67,521765.62,-37.425
134940.61,521766.25,-37.422
134939.58,521765.38,-37.445
134939.2,521766.06,-37.448
134939.73,521765.7,-37.441
134939.38,521766.2,-37.429
134940.23,521765.94,-37.438
134940.19,521766.66,-37.439
134941.0,521766.66,-37.435
134939.75,521765.72,-37.437
134939.44,521766.22,-37.423
134940.14,521766.3,-37.519
134939.78,521766.44,-37.443
134941.6,521765.56,-37.473
134939.92,521766.53,-37.428
134940.6,521766.44,-37.439
134939.08,521765.34,-37.412
134941.11,521766.62,-37.404
134940.23,521767.28,-37.412
134941.52,521766.12,-37.432
134939.56,521765.4,-37.425
134939.53,521765.5,-37.42
134939.19,521766.03,-37.443
134940.16,521766.12,-37.442
134940.77,521766.28,-37.438
134939.17,521766.03,-37.451
134939.38,521766.0,-37.432
134939.17,521765.28,-37.43
134939.34,521765.56,-37.437
134939.84,521765.78,-37.428
134939.77,521765.9,-37.443
134941.06,521765.88,-37.448
134939.83,521765.88,-37.423
134940.69,521766.4,-37.453
134939.86,521765.2,-37.457
134939.62,521766.25,-37.409
134939.06,521765.38,-37.448
134939.72,521764.8,-37.465
134941.3,521765.28,-37.483
134938.94,521765.88,-37.413
134939.34,521766.16,-37.433
134939.86,521765.16,-37.443
134937.42,521771.88,-37.398
134937.33,521771.88,-37.402
134937.53,521771.88,-37.407
134937.34,521771.84,-37.403
134937.48,521771.9,-37.391
134937.2,521771.3,-37.403
134937.2,521772.38,-37.387
134937.47,521771.97,-37.405
134937.34,521771.56,-37.487
134937.28,521772.03,-37.423
134937.55,521771.84,-37.427
134937.4,521771.8,-37.43
134937.25,521772.06,-37.431
134937.47,521771.84,-37.404
134937.2,521771.53,-37.489
134937.19,521772.44,-37.373
134937.28,521771.6,-37.496
134937.66,521772.12,-37.403
134937.48,521771.8,-37.433
134937.3,521772.12,-37.424
134937.6,521772.16,-37.386
134937.28,521772.16,-37.432
134937.5,521772.1,-37.406
134937.44,521771.9,-37.393
134937.25,521771.38,-37.431
134937.31,521772.1,-37.425
134937.34,521772.0,-37.403
134937.23,521772.44,-37.389
134937.25,521771.3,-37.401
134937.25,521771.53,-37.485
134937.28,521772.22,-37.419
134937.19,521772.3,-37.4
134937.17,521771.25,-37.392
134937.2,521772.5,-37.369
134937.27,521771.97,-37.418
134937.23,521772.3,-37.407
134937.72,521772.12,-37.398
134937.64,521772.22,-37.371
134937.33,521772.12,-37.421
134937.42,521771.6,-37.489
134937.31,521772.2,-37.42
134937.22,521771.38,-37.426
134937.27,521772.2,-37.431
134937.25,521772.34,-37.394
134938.77,521769.56,-37.446
134938.58,521769.94,-37.413
134938.34,521770.5,-37.425
134938.69,521770.53,-37.439
134938.72,521770.72,-37.433
134938.66,521770.84,-37.438
134939.28,521770.38,-37.449
134939.44,521770.5,-37.424
134939.28,521770.6,-37.454
134939.16,521770.88,-37.406
134937.75,521769.28,-37.445
134938.11,521768.97,-37.426
134937.4,521769.97,-37.373
134938.3,521768.88,-37.475
134938.05,521769.62,-37.44
134938.31,521770.3,-37.45
134937.73,521769.38,-37.394
134937.25,521769.8,-37.439
134937.73,521770.12,-37.425
134937.97,521770.03,-37.462
134937.88,521769.34,-37.405
134938.23,521769.06,-37.403
134937.92,521769.5,-37.411
134938.33,521769.12,-37.385
134938.19,521769.66,-37.409
134938.31,521769.8,-37.41
134937.45,521769.75,-37.412
134937.42,521770.1,-37.401
134937.86,521770.2,-37.412
134937.98,521770.25,-37.399
134938.94,521771.03,-37.391
134937.48,521770.03,-37.372
134938.48,521769.25,-37.402
134938.25,521769.66,-37.407
134938.94,521770.12,-37.407
134938.86,521770.25,-37.403
134938.62,521770.62,-37.401
134938.56,521770.75,-37.406
134939.06,521771.06,-37.398
134938.61,521770.0,-37.415
134938.84,521770.2,-37.407
134938.55,521770.62,-37.406
134938.98,521770.25,-37.404
134938.67,521770.75,-37.417
134938.86,521770.97,-37.399
134939.23,521770.56,-37.457
134937.48,521769.84,-37.386
134937.88,521770.25,-37.417
134938.89,521770.2,-37.396
134938.97,521771.1,-37.403
134937.7,521769.47,-37.37
134938.9,521771.06,-37.39
134938.0,521769.28,-37.465
134938.12,521768.94,-37.417
134937.9,521769.3,-37.414
134938.23,521768.97,-37.409
134938.28,521770.28,-37.463
134937.78,521769.5,-37.382
134938.23,521769.84,-37.422
134938.61,521769.28,-37.383
134938.69,521769.44,-37.387
134937.5,521769.75,-37.419
134937.42,521769.88,-37.388
134937.55,521769.8,-37.393
134937.42,521770.03,-37.376
134939.14,521770.94,-37.402
134938.9,521770.97,-37.396
134937.47,521770.0,-37.358
134938.56,521770.03,-37.417
134938.94,521770.25,-37.397
134938.56,521769.34,-37.39
134938.19,521769.06,-37.415
134937.88,521769.56,-37.409
134938.4,521769.2,-37.392
134938.2,521769.6,-37.414
134938.55,521769.28,-37.387
134938.23,521769.78,-37.399
134937.44,521769.84,-37.389
134938.98,521770.12,-37.414
134938.6,521770.72,-37.404
134939.36,521770.53,-37.417
134939.06,521771.03,-37.393
134937.62,521770.03,-37.41
134939.06,521770.94,-37.389
134938.2,521770.25,-37.46
134938.12,521770.4,-37.455
134938.25,521770.34,-37.434
134938.14,521770.44,-37.461
134938.62,521770.53,-37.433
134939.06,521770.12,-37.435
134938.75,521770.62,-37.42
134938.6,521770.84,-37.44
134939.23,521770.4,-37.451
134939.61,521770.62,-37.423
134937.55,521769.88,-37.389
134938.06,521768.97,-37.446
134938.25,521768.9,-37.44
134937.67,521769.47,-37.392
134937.88,521769.4,-37.4
134938.3,521769.0,-37.394
134938.5,521770.6,-37.41
134937.66,521769.9,-37.434
134937.88,521770.03,-37.45
134938.02,521770.16,-37.432
134938.92,521770.88,-37.419
134938.1,521769.72,-37.447
134938.19,521769.78,-37.41
134938.61,521770.56,-37.414
134938.97,521770.2,-37.399
134938.89,521770.3,-37.414
134938.61,521769.34,-37.379
134938.25,521770.28,-37.456
134938.22,521770.5,-37.461
134938.61,521770.5,-37.436
134939.03,521770.1,-37.43
134938.55,521770.88,-37.442
134938.97,521771.03,-37.388
134937.78,521769.38,-37.392
134938.31,521769.06,-37.38
134937.83,521769.56,-37.412
134938.94,521770.53,-37.516
134937.98,521770.34,-37.413
134937.55,521769.94,-37.384
134939.08,521770.84,-37.403
134938.28,521769.84,-37.409
134938.86,521770.94,-37.402
134939.11,521771.06,-37.396
134937.47,521770.1,-37.389
134938.14,521769.03,-37.427
134938.36,521769.0,-37.428
134938.17,521769.56,-37.436
134938.06,521769.66,-37.445
134937.25,521769.7,-37.429
134938.0,521770.12,-37.436
